ID,Domain,Phylum,Class,Order,Family,Genus,Species
29cde7953b89ed299cf71fc3632c9745,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus CC9902,
94cfb9dc760771286111eb32fe69d021,Archaea,Nanoarchaeaeota,Woesearchaeia,,,,
82b4f5ca88e19f7e31332ddb8ef7f69c,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus Nitrosopumilus,
79b6ba700ad3d23ce74782c17b135b0c,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Prochlorococcus MIT9313,
640aedd43f356caae022da7985d89a8a,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,
4ecdd52c6a6b24c373bd062063194b0e,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,
8c9a936351857ef2204d3eb67476d2f7,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium PCC-6307,
744a7124398c8828262b3211b39303d8,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,,,
56f3f29aaa149dc5b511e5dd1b4c184c,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
917aa7f39223a889b235e61fe5aeeca8,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,
52a567845c8f231ce77e4594fcf07a8e,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,
0c9d87a3d6360924773ccaf11ad4c90d,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ib,
da754808ea55c91a0d18e3f73beb2464,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,uncultured marine bacterium
90dd7a8adba15793a229210a4f6b3e8f,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,,,
83a6f4cd0bb006b714a9b21fd9329acc,Archaea,Euryarchaeota,Thermoplasmata,Marine Group III,metagenome,metagenome,metagenome
580c721cd115033cebadc0d909e4cd83,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,marine metagenome,marine metagenome
948cba9993632f80e9329f573b0771dd,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus CC9902,
3a2be2b616f5978bb27ddb5c2b6540e1,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
